adhesivity,particle_size,volume_time_400,efficiency_time_400,product,n
0.1,0.04,0.19066732969773384,0.1906352077784779,0.08052797531805872,0.52
0.15,0.04,0.2684750933688253,0.2685244866498825,0.13552330245626676,0.52
0.2,0.04,0.3386541125547883,0.3388046829933159,0.19294019300421125,0.52
0.25,0.04,0.4019668333820549,0.4022429047161013,0.2504190172622239,0.52
0.3,0.04,0.45909814214076283,0.45952530140493114,0.30654928458922676,0.52
0.35,0.04,0.5106668823618513,0.5112658479588611,0.3604776840174075,0.52
0.4,0.04,0.5572273332020913,0.5580146563279058,0.4117015099323228,0.52
0.45,0.04,0.5992779426325426,0.6002648104139072,0.4599489128455538,0.52
0.5,0.04,0.637263832933927,0.6384581573785202,0.5051012709462677,0.52
0.55,0.04,0.671587261810925,0.672992351080699,0.5471462189039284,0.52
0.6,0.04,149.8955499344133,0.7042243466575471,9.530620577735743,0.52
0.65,0.04,139.36945692653745,0.7326190496406787,9.546526074342628,0.52
0.7,0.04,130.21832488200772,0.7582730607487163,9.537951753430184,0.52
0.75,0.04,122.20865024834157,0.7814513547404931,9.510316297773779,0.52
0.8,0.04,115.1381919476374,0.8023942943618165,9.46720808053052,0.52
0.85,0.04,108.84855053807904,0.8213188252757978,9.41151536135518,0.52
0.9,0.04,103.20989574674574,0.8384209706885959,9.345385672343282,0.52
0.95,0.04,98.12217171982289,0.8538773976811636,9.270740756010596,0.52
1.0,0.04,93.5053248028025,0.8678474881340209,9.189212807881312,0.52
0.0,0.05,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.05,0.10467158199486794,0.10464408424675617,0.032361277054016556,0.52
0.1,0.05,0.19126993333004894,0.1912668461069686,0.08092747383086091,0.52
0.15,0.05,0.2692605205030575,0.2693465288048121,0.13614483724094045,0.52
0.2,0.05,0.33955833161982446,0.33976196776937034,0.1937538079124607,0.52
0.25,0.05,0.4029379349215974,0.40329583789270745,0.2513897588123558,0.52
0.3,0.05,0.46010134969813926,0.46064591711656555,0.3076458421644822,0.52
0.35,0.05,0.5116772864964098,0.5124359316940154,0.3616742311035202,0.52
0.4,0.05,0.5582275828576219,0.5592211036461776,0.4129765805717477,0.52
0.45,0.05,0.6002575081842805,0.601500975986989,0.4612877152659123,0.52
0.5,0.05,141.2798282634082,0.6397746310693402,8.395927840959768,0.52
0.55,0.05,129.66873452266012,0.6745476907011065,8.466170325167724,0.52
0.6,0.05,119.85062022764265,0.7059440721891812,8.50478314508778,0.52
0.65,0.05,111.41494749591703,0.7342954862010043,8.516898228482932,0.52
0.7,0.05,104.10415600701037,0.7598976377962838,8.508215661483012,0.52
0.75,0.05,97.69306405181591,0.7830197926609338,8.482070545227137,0.52
0.8,0.05,92.04907685783121,0.803901504695137,8.442925342662885,0.52
0.85,0.05,87.00829349025557,0.8227640095071865,8.391639612347397,0.52
0.9,0.05,82.48984085633266,0.8398025918387085,8.331159571264172,0.52
0.95,0.05,78.41728599507503,0.8551944850282339,8.263404862492697,0.52
1.0,0.05,74.72436480003937,0.8690999560718258,8.189739513172787,0.52
0.0,0.06,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.06,0.10504249405293938,0.10500949785594824,0.032534069839834215,0.52
0.1,0.06,0.19187757142048864,0.19189773096868437,0.081328437824804,0.52
0.15,0.06,0.2700558945546981,0.27017081111635854,0.13677109704754709,0.52
0.2,0.06,0.3404700555197644,0.3407238835975316,0.19457346655029,0.52
0.25,0.06,0.4039207038981229,0.4043581417479472,0.2523714201529714,0.52
0.3,0.06,0.4611218247503288,0.46178319731128886,0.3087608862374499,0.52
0.35,0.06,0.5127117480668327,0.5136299976730192,0.36289792067555227,0.52
0.4,0.06,0.5592630855419498,0.5604638893464158,0.4142934208446248,0.52
0.45,0.06,129.31543275609343,0.6030469771833848,7.558042519028353,0.52
0.5,0.06,117.677878783042,0.6415550260704617,7.655881875511519,0.52
0.55,0.06,108.00176307694602,0.6763045944210586,7.71838392486933,0.52
0.6,0.06,99.80041382311389,0.7076677778829508,7.751365921870986,0.52
0.65,0.06,92.7838443727115,0.7359737849996881,7.761541322415488,0.52
0.7,0.06,86.69959164940116,0.7615238694067747,7.752689446432261,0.52
0.75,0.06,81.36070303156582,0.7845892924994027,7.727838138056621,0.52
0.8,0.06,76.64319395917572,0.8054122765247871,7.690321821966361,0.52
0.85,0.06,72.44183470883328,0.8242122882422043,7.64246739347064,0.52
0.9,0.06,68.67439235843874,0.8411870811171379,7.586228216027171,0.52
0.95,0.06,65.29089725250199,0.8565130464549277,7.524148419187595,0.52
1.0,0.06,62.21450536936352,0.8703538072908388,7.4562333775217216,0.52
0.0,0.07,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.07,0.10540469061043048,0.10537389321552877,0.032705454873546924,0.52
0.1,0.07,0.19249396027009363,0.1925298129654198,0.08173251914157527,0.52
0.15,0.07,0.27085430289196305,0.2709964358995644,0.13739981994356562,0.52
0.2,0.07,0.3413881875710609,0.341690670455004,0.19539899952338535,0.52
0.25,0.07,0.4049135666720398,0.4054303303093589,0.25336384770765735,0.52
0.3,0.07,0.46215760503637837,0.46293580242038096,0.30989289810024845,0.52
0.35,0.07,0.5137709276484898,0.5148498651412254,0.3641503708734413,0.52
0.4,0.07,123.0685678244932,0.5621467385302368,6.866354340343854,0.52
0.45,0.07,110.80286862062972,0.6048366142554937,6.995271835780349,0.52
0.5,0.07,100.8128672097567,0.6433378947331994,7.0838186782727615,0.52
0.55,0.07,92.51611650689459,0.6780645318222425,7.140096361501744,0.52
0.6,0.07,85.50570698141135,0.7093903000834053,7.170058498129166,0.52
0.65,0.07,79.48501915010029,0.737652983549283,7.1779503599702075,0.52
0.7,0.07,74.26053465194059,0.7631532277509142,7.168131149819302,0.52
0.75,0.07,69.68180955636569,0.7861627619813776,7.1438868517048055,0.52
0.8,0.07,65.63944983370156,0.8069255153805318,7.108193031525227,0.52
0.85,0.07,62.043541100959885,0.8256621434652843,7.063250236895544,0.52
0.9,0.07,58.814419690925796,0.84257293340147,7.01034010737065,0.52
0.95,0.07,55.90445312181178,0.8578356282552636,6.95146290333705,0.52
1.0,0.07,53.261230391312694,0.8716128098994398,6.887433611635028,0.52
0.0,0.08,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.08,0.1057631432714043,0.105738925636858,0.03287674061038941,0.52
0.1,0.08,0.19311405939436077,0.19316215274264648,0.08213821511358933,0.52
0.15,0.08,0.27165520752211725,0.27182275783896226,0.13803054171976295,0.52
0.2,0.08,0.3423108348349198,0.34266150611904184,0.19622939061964054,0.52
0.25,0.08,0.4059140501681768,0.40651006104657267,0.25436480629060887,0.52
0.3,0.08,0.46320847024918965,0.4641044857607386,0.3110423626206959,0.52
0.35,0.08,121.19553470207367,0.5165502260988353,6.259297559767848,0.52
0.4,0.08,107.64876671946462,0.5639275046426826,6.424923893942654,0.52
0.45,0.08,96.91385269642225,0.6066281858843745,6.543999111822032,0.52
0.5,0.08,88.17898296972189,0.6451202713738295,6.625681163699064,0.52
0.55,0.08,80.91641817155578,0.6798241105327936,6.67691152079932,0.52
0.6,0.08,74.77139711741592,0.7111167762337438,6.7032185937155875,0.52
0.65,0.08,69.50326742884015,0.73933551258028,6.709409241156142,0.52
0.7,0.08,64.92645218005332,0.7647858900149744,6.698832771376349,0.52
0.75,0.08,60.91949918347953,0.7877394055979346,6.675070541996464,0.52
0.8,0.08,57.38104664311831,0.8084424563350021,6.640621314875879,0.52
0.85,0.08,54.22543467927292,0.8271184422223667,6.597103326876784,0.52
0.9,0.08,51.403042961939796,0.8439646349532576,6.54694118961289,0.52
0.95,0.08,48.8612429699958,0.8591617343773962,6.491371607086943,0.52
1.0,0.08,46.555930379032404,0.8728728364917938,6.431288379761751,0.52
0.0,0.09,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.09,0.10612118948246016,0.1061046318910224,0.033048476198283515,0.52
0.1,0.09,0.19373534498678527,0.1937945231661427,0.08254487357413173,0.52
0.15,0.09,0.27245960382772694,0.2726522063712391,0.13866476477511624,0.52
0.2,0.09,0.3432390046679728,0.3436380760876834,0.1970659215340144,0.52
0.25,0.09,0.4069243230287552,0.40760020143519127,0.2553768276630921,0.52
0.3,0.09,123.44113927932418,0.46565560883529644,5.696708503660224,0.52
0.35,0.09,107.69136755822156,0.5182988557438731,5.906283836710499,0.52
0.4,0.09,95.65558636274493,0.5657094724610243,6.0612587865460394,0.52
0.45,0.09,86.1176525249328,0.6084199989538035,6.172362387271884,0.52
0.5,0.09,78.34362007631313,0.6469057934963587,6.247739754365324,0.52
0.55,0.09,71.88462143215537,0.6815873749332246,6.294659638713848,0.52
0.6,0.09,66.42334522820644,0.712845182042134,6.318325643195703,0.52
0.65,0.09,61.74003528297912,0.7410201911275104,6.323023789938712,0.52
0.7,0.09,57.677064112626184,0.7664184940179894,6.312299718307031,0.52
0.75,0.09,54.11640475503381,0.7893156057973364,6.289002051004227,0.52
0.8,0.09,50.95867483274572,0.809962001916159,6.254866870103505,0.52
0.85,0.09,48.16621915459381,0.8285722911505444,6.2137894800482725,0.52
0.9,0.09,45.655075658974766,0.8453550886961521,6.165573594681916,0.52
0.95,0.09,43.38849187061361,0.8604893883883153,6.111956962413516,0.52
1.0,0.09,41.339469277075224,0.8741357771700038,6.054644409160044,0.52
0.0,0.1,0.008494479202439675,0.008494479202439686,0.0007116850963502852,0.52
0.05,0.1,0.10647970983457614,0.10647023735565886,0.03322056304639099,0.52
0.1,0.1,0.1943591918459695,0.19442888426548915,0.08295363624901801,0.52
0.15,0.1,0.2732658118815105,0.27348323573632893,0.1393012668477883,0.52
0.2,0.1,0.3441701050475207,0.3446175583864972,0.19790621650922965,0.52
0.25,0.1,130.54505849029482,0.4087645580525727,5.148357073695672,0.52
0.3,0.1,111.07265781274558,0.46733979224722144,5.41188409026088,0.52
0.35,0.1,96.89855410872019,0.5200468281673898,5.609542544311213,0.52
0.4,0.1,86.06610907086946,0.5674916081303962,5.75535572992109,0.52
0.45,0.1,77.47462285283746,0.610214377477771,5.8592949548892035,0.52
0.5,0.1,70.47689671155074,0.6486926390085267,5.929571245722077,0.52
0.55,0.1,64.66167463388219,0.6833519797158061,5.972839846219339,0.52
0.6,0.1,59.74552984181794,0.7145754974438769,5.9941407583423425,0.52
0.65,0.1,55.53066529724009,0.7427067216962234,5.997557913427068,0.52
0.7,0.1,51.86812857717358,0.7680560539435011,5.9860620958332325,0.52
0.75,0.1,48.66453640557077,0.7908968348025234,5.9630765496885285,0.52
0.8,0.1,45.83076810455509,0.8114810466663522,5.930346802776237,0.52
